"Aggregated Date/Time","Variable","Depth","Site Name","Latitude","Longitude","mean","median","p5","p95","lowest","highest"
2010-09-01T00:00,"eta","99999.9","Abbot_Point","-19.90061004","148.1010626",-0.0703887217904595,-0.08884324878763344,-1.2108692054204995,1.1478371117517174,-1.7531057836524977,1.7144839991526115
2010-09-01T00:00,"eta","99999.9","Cairns","-16.89878375","145.8178076",0.04810757396288477,0.030526558465653535,-0.9080587204172026,1.0807321714948521,-1.4781052261908652,1.5833799573261937
2010-09-01T00:00,"eta","99999.9","Clairview","-22.06885743","149.8251086",-0.17539982184206213,-0.22510624110772265,-3.082398983491134,2.9528725583300792,-3.7802408747916667,3.9608645257743222
2010-09-01T00:00,"eta","99999.9","Gladstone","-23.64082179","151.2817002",-0.21256811057179043,-0.26276588185126465,-1.628424078263454,1.2967583966734186,-2.100193968585645,1.9709435693172384
2010-09-01T00:00,"eta","99999.9","HayPoint","-21.15475782","149.3594377",-0.15041620423794497,-0.19857118835871085,-2.4013483847421693,2.146217245769328,-3.139450825547189,3.1575369368815362
2010-09-01T00:00,"eta","99999.9","Mourilyan","-17.58245583","146.1094631",0.02271632691855319,0.0041509276698791855,-0.9423919026221469,1.0853787587554602,-1.5235778073035993,1.6142022724525995
2010-09-01T00:00,"eta","99999.9","OSRA","-14.41893939","144.7233729",0.142202783052223,0.11601398847944988,-0.7477573388642277,1.1299999137782841,-1.2566431503500006,1.6666055839468839
2010-09-01T00:00,"eta","99999.9","Townsville","-19.21198359","146.849004",-0.02272674479090941,-0.053390100143779505,-1.2215472038871105,1.3227543074867714,-1.8646735755854427,1.9657564143106456
2010-09-01T00:00,"v","-0.5","Abbot_Point","-19.90061004","148.1010626",0.006013555135720877,0.002406029582306101,-0.05923487757074477,0.07991627040341984,-0.10093411760169788,0.13214453440992685
2010-09-01T00:00,"v","-0.5","Cairns","-16.89878375","145.8178076",4.7253210532827655E-4,0.0024197031629473184,-0.05704156565576289,0.06073647271955095,-0.15630819636272109,0.12415972039731918
2010-09-01T00:00,"v","-0.5","Clairview","-22.06885743","149.8251086",0.06485538320428118,0.10962529224588131,-0.9709311877229791,1.053878659846778,-1.1673440756040374,1.2621821919345366
2010-09-01T00:00,"v","-0.5","Gladstone","-23.64082179","151.2817002",0.015276888997485725,0.02160117614303418,-0.16921424691517528,0.18017946038722793,-0.27303202922418934,0.2404775179665704
2010-09-01T00:00,"v","-0.5","HayPoint","-21.15475782","149.3594377",0.012505321347086568,0.010220788903580077,-0.441753232736167,0.5008169925140775,-0.554044914464554,0.606254798423636
2010-09-01T00:00,"v","-0.5","Mourilyan","-17.58245583","146.1094631",-0.010476163106100046,-0.01440133841477296,-0.1273236880134973,0.12212292009421714,-0.1855124619983002,0.16436634635107414
2010-09-01T00:00,"v","-0.5","OSRA","-14.41893939","144.7233729",0.1056657628041444,0.10947731605524792,-0.028184879197112093,0.21793671898379657,-0.09284615765836315,0.2802186869285715
2010-09-01T00:00,"v","-0.5","Townsville","-19.21198359","146.849004",0.0022002660643020695,0.008720367082886578,-0.11505601359839687,0.10727241488086021,-0.17316394783992753,0.23496913603728145
2010-09-01T00:00,"u","-0.5","Abbot_Point","-19.90061004","148.1010626",-0.023181175846709628,-0.013119245857805339,-0.1581172136061084,0.10580289651189334,-0.20686161274857498,0.1476312970867497
2010-09-01T00:00,"u","-0.5","Cairns","-16.89878375","145.8178076",-6.134021585806783E-4,0.0016889662242627883,-0.09783432218790343,0.10186498616395336,-0.2718262511312579,0.22149626099657777
2010-09-01T00:00,"u","-0.5","Clairview","-22.06885743","149.8251086",-0.009838233447961838,0.030268230211921043,-0.33147417803386087,0.2674766808210171,-0.4254761136456041,0.32550163096801144
2010-09-01T00:00,"u","-0.5","Gladstone","-23.64082179","151.2817002",-0.016719232217369873,-0.012415459299394726,-0.10719357430474186,0.07161897585574413,-0.15895387041088455,0.14026700488438124
2010-09-01T00:00,"u","-0.5","HayPoint","-21.15475782","149.3594377",0.003424354044672294,0.0073692801963617495,-0.15163900855437543,0.15746468540914857,-0.21744818537477395,0.2291080140240862
2010-09-01T00:00,"u","-0.5","Mourilyan","-17.58245583","146.1094631",-0.00329864560502163,-0.001671211686652265,-0.05221454275013885,0.0375105121830764,-0.09059482674184567,0.10021797121040514
2010-09-01T00:00,"u","-0.5","OSRA","-14.41893939","144.7233729",-0.1376044237511642,-0.13461109754589182,-0.22637927997614102,-0.04873489868263014,-0.2892359353669083,0.04822890658696006
2010-09-01T00:00,"u","-0.5","Townsville","-19.21198359","146.849004",-0.0030642540823052943,-0.0025750648533054343,-0.032587385566643846,0.026140239743568095,-0.05359513339027666,0.07809692755703027
2010-09-01T00:00,"wspeed_v","99999.9","Abbot_Point","-19.90061004","148.1010626",1.0025524297077895,0.9075272334876787,-2.677724687092095,4.604741298238189,-5.693927040242792,6.368283749621355
2010-09-01T00:00,"wspeed_v","99999.9","Cairns","-16.89878375","145.8178076",3.137337678930925,3.228671097797797,0.7835062935117361,5.226459143985136,-1.3069266355383684,6.8254907306217545
2010-09-01T00:00,"wspeed_v","99999.9","Clairview","-22.06885743","149.8251086",0.5225837666910607,0.13599065119597253,-4.450029207003752,6.745125133185012,-7.09513094983098,12.042645686862429
2010-09-01T00:00,"wspeed_v","99999.9","Gladstone","-23.64082179","151.2817002",0.7424505150046607,0.8568768271173735,-4.6650626198529075,5.820967418915722,-6.422620839511892,9.465727089607288
